id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
183,lotus_seeds,nuts,28g,25,0.1g,4.9g,0g,1.2g,1,1,1,1,1
184,macadamia,nuts,28g,204,21g,3.9g,1.3g,2.2g,1,1,1,1,1
185,peanut,nuts,28g,161,14g,4.6g,1.3g,7.3g,1,1,1,1,1
186,pecan,nuts,30g,200,22g,4.2g,1.2g,2.8g,1,1,1,1,1
187,pine_nut,nuts,28g,191,19g,3.7g,1g,3.9g,1,1,1,1,1
188,pistachio,nuts,28g,160,12.8g,7.6g,2g,6g,1,1,1,1,1
189,poppy_seed,nuts,28g,150,12g,7.9g,0.8g,5g,1,1,1,1,1
190,pumpkin_seeds,nuts,32g,142,6g,17g,0g,6g,1,1,1,1,1
191,sesame_seed,nuts,28g,160,14g,7.3g,0g,4.8g,1,1,1,1,1
192,sunflower_seeds,nuts,64g,349,32g,10g,1.8g,12.5g,1,1,1,1,1
193,tiger_nuts,nuts,30g,120,7g,19g,9g,2g,1,1,1,1,1
194,walnut,nuts,28g,182,18.2g,3.9g,0.7g,4.3g,1,1,1,1,1
195,chicken ,meat,85g,187,11g,0g,0g,20g,0,0,1,,0
196,turkey ,meat,113g,214,8.4g,0.1g,0g,32g,0,0,1,,0
197,ham,meat,134g,186,6.8g,1.4g,1.4g,30g,0,0,1,,0
198,pork,meat,85g,202,12g,0g,0g,22g,0,0,1,,0
199,beef,meat,85g,220,14g,0g,0g,22g,0,0,1,,0
200,lamb,meat,85g,250,18g,0g,0g,21g,0,0,1,,0
201,moose,meat,85g,114,.8g,0g,0g,25g,0,0,1,,0
202,venison,meat,85g,128,2g,0g,0g,26g,0,0,1,,0
203,caribou,meat,85g,142,3.8g,0g,0g,25g,0,0,1,,0
204,elk,meat,85g,124,1.6g,0g,0g,26g,0,0,1,,0
205,buffalo,meat,87g,207,13g,0g,0g,21g,0,0,1,,0
206,bear,meat,85g,220,11g,0g,0g,28g,0,0,1,,0
207,veal,meat,87g,196,9.7g,0g,0g,26g,0,0,1,,0
208,salmon,fish,227g,468,28g,0g,0g,50g,0,0,1,,1
209,trout,fish,62g,118,5.3g,0g,0g,17g,0,0,1,,1
210,tilapia,fish,170g,218,4.5g,0g,0g,44g,0,0,1,,1
211,mahi mahi,fish,159g,173,1.4g,0g,0g,38g,0,0,1,,1
212,cod,fish,180g,189,1.5g,0g,0g,41g,0,0,1,,1
213,halibut,fish,85g,94,1.4g,0g,0g,19g,0,0,1,,1
214,pike,fish,124g,148,1.9g,0g,0g,30g,0,0,1,,1
215,macKerel,fish,88g,231,16g,0g,0g,21g,0,0,1,,1
216,sea bass,fish,101g,125,2.6g,0g,0g,24g,0,0,1,,1
217,tuna,fish,85g,111,.5g,0g,0g,25g,0,0,1,,1
218,swordfish,fish,106g,182,8.4g,0g,0g,25g,0,0,1,,1
219,catfish,fish,143g,206,10g,0g,0g,26g,0,0,1,,1
220,carp ,fish,85g,138,6.1g,0g,0g,19g,0,0,1,,1
221,flounder,fish,127g,109,3g,0g,0g,19g,0,0,1,,1
222,red snapper,fish,170g,218,2.9g,0g,0g,45g,0,0,1,,1
223,perch,fish,170g,199,2g,0g,0g,42g,0,0,1,,1
224,striped bass,fish,101g,125,2.6g,0g,0g,24g,0,0,1,,1
225,barramundi,fish,85g,100,1.1g,0g,0g,21g,0,0,1,,1
226,anchovy,fish,4g,8.4,0.4g,0g,0g,1.2g,0,0,1,,1
227,sardines,fish,12g,25,1.4g,0g,0g,3g,0,0,1,,1
228,herring,fish,143g,290,17g,0g,0g,33g,0,0,1,,1
229,eel,fish,28g,67,4.2g,0g,0g,6.7g,0,0,1,,1
230,octopus,fish,85g,139,1.8g,3.7g,0g,25g,0,0,1,,1
231,squid,fish,28g,26,.4g,.9g,0g,4.4g,0,0,1,,1
232,cuttlefish,fish,85g,134,1.2g,1.4g,0g,28g,0,0,1,,1
233,oyster,fish,25g,41,1.2g,2.5g,0g,4.7g,0,0,1,,1
234,clam,fish,85g,126,1.7g,4.4g,0g,22g,0,0,1,,1
235,mussel,fish,85g,146,3.8g,6.3g,0g,20g,0,0,1,,1
236,scallop,fish,13g,14,.1g,.7g,0g,2.7g,0,0,1,,1
237,shrimp,fish,5g,6,.1g,.1g,0g,1.1g,0,0,1,,1
238,prawns,fish,5g,6,.1g,.1g,0g,1.1g,0,0,1,,1
239,lobster,fish,85g,122,1.6g,2.7g,0g,22g,0,0,1,,1
240,crab ,fish,118g,98,.9g,0g,0g,21g,0,0,1,,1
241,crayfish ,fish,85g,65,.8g,0g,0g,14g,0,0,1,,1
242,conch,fish,127g,165,1.5g,2.2g,0g,33g,0,0,1,,1
243,abalone,fish,85g,161,5.8g,9.4g,0g,17g,0,0,1,,1
244,escargot,fish,85g,77,1.2g,1.7g,0g,14g,0,0,1,,1
245,whelks,fish,28g,28,.3g,2.4g,1.8g,3.7g,0,0,1,,1
