id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
66,elderberry,fruit,145g,106,0.7g,27g,0g,1g,1,1,0,1,1
67,fig,fruit,50g,37,0.2g,9.6g,8.1g,0.4g,1,1,0,1,1
68,goji_berry,fruit,28g,98,0.1g,22g,13g,4g,1,1,0,1,1
69,grape,fruit,150,104,0.2g,27g,23g,1.1g,1,1,0,1,1
70,grapefruit,fruit,180g,76,0.3g,19g,12g,1.4g,1,1,0,1,1
71,guava,fruit,165g,112,1.6g,24g,15g,4.2g,1,1,0,1,1
72,honeydew_melon,fruit,155g,56,0.2g,14g,13g,0.8g,1,1,0,1,1
73,huckleberry,fruit,100g,37,0.1,8.7g,0g,0.4g,1,1,0,1,1
74,jackfruit,fruit,165g,157,1.1g,38g,31g,2.8g,1,1,1,1,1
75,jujube,fruit,100g,79,0.2g,20g,0g,1.2g,1,1,0,1,1
76,kiwano,fruit,233g,103,2.9g,18g,0g,4.2g,1,1,0,1,1
77,kiwi,fruit,180g,104,0.8g,25g,16g,1.9g,1,1,0,1,1
78,kumquat,fruit,185g,131,1.6g,29g,17g,3.5g,1,1,0,1,1
79,lemon,fruit,200g,58,0.6g,19g,5g,2.2g,1,1,1,1,1
80,lime,fruit,200g,60,0.4g,21g,3.4g,1.4g,1,1,1,1,1
81,longan,fruit,100g,60,0.1g,15g,0g,1.3g,1,1,0,1,1
82,loquat,fruit,149g,70,0.3g,18g,0g,0.6g,1,1,0,1,1
83,lychee,fruit,190g,125,0.8g,31g,29g,1.6g,1,1,0,1,1
84,mamey,fruit,175g,217,0.8g,56g,35,2.5g,1,1,0,1,1
85,mango,fruit,165g,99,0.6g,25g,23g,1.4g,1,1,0,1,1
86,mulberry,fruit,140g,60,0.5g,14g,11g,2g,1,1,0,1,1
87,nectarine,fruit,155g,60,0.4g,14g,12g,1.6g,1,1,0,1,1
88,orange,fruit,180g,85g,0.2g,21g,17g,1.7g,1,1,0,1,1
89,papaya,fruit,230g,99,0.6g,25g,18g,1.1g,1,1,0,1,1
90,passion_fruit,fruit,236g,229,1.7g,55g,26g,5.2g,1,1,1,1,1
91,peach,fruit,155g,65,0.4g,16g,13g,1.4g,1,1,1,1,1
92,pear,fruit,125g,71,0.2g,19g,12g,0.5g,1,1,0,1,1
93,persimmon,fruit,170g,119,0.3g,32g,21g,1g,1,1,0,1,1
94,pineapple,fruit,165g,83,0.2g,22g,16g,0.9g,1,1,0,1,1
95,plantain,fruit,265g,406,0.2g,98g,6.1g,3.3g,1,1,0,1,1
96,plum,fruit,155g,71,0.4g,18g,15g,1.1g,1,1,0,1,1
97,pluot,fruit,154g,69,0g,17g,15g,1g,1,1,1,1,1
98,pomegranate,fruit,175g,145,2g,33g,24g,2.9g,1,1,0,1,1
99,pomelo,fruit,28g,105,0g,10g,15g,1g,1,1,0,1,1
100,prune,fruit,160g,384,0.6g,102g,61g,3.5g,1,1,0,1,1
101,raisins,fruit,160g,478,0.4g,127g,104g,5.3g,1,1,0,1,1
102,rambutan,fruit,150g,123,0.3g,31g,0g,1g,1,1,0,1,1
103,raspberry,fruit,123g,64,0.8g,15g,5.4g,1.5g,1,1,1,1,1
104,starfruit,fruit,132g,41,0.4g,8.9g,5.3g,1.4g,1,1,1,1,1
105,strawberry,fruit,90g,40,7g,0.3g,0.6g,4.4g,1,1,1,1,1
106,tamarillo,fruit,97g,29,1g,8g,7g,1g,1,1,0,1,1
107,tamarind,fruit,120g,287,0.7g,75g,47g,3.4g,1,1,0,1,1
108,tangerine,fruit,195g,103,0.6g,26g,21g,1.6g,1,1,0,1,1
